C,NumPy,Cython
113527600,138097900,178922100
113574600,138118700,178980700
113423200,138184100,179324200
115230500,138198900,180313700
113722700,138215400,179690700
119049200,138295800,178183100
113432200,138339900,180219800
113107100,138394400,179252300
113343200,138414700,178045700
114789700,138554700,177862400
113428000,138557000,178132600
113392500,138564900,177441000
115417200,138570800,179666000
113488200,138578800,177816600
114494600,138582500,178340300
113990000,138582600,180579000
113403400,138602700,179309800
113547000,138611100,180605700
115086800,138634200,178621100
123156200,138654800,180781700
113810300,138655900,178676100
113165900,138661800,179475800
116821900,138662800,178115600
113455200,138673900,179439100
114022800,138684800,178833200
113152000,138692200,179153200
114355300,138696900,177873500
114633500,138705800,178971900
113474500,138706200,177692500
113531000,138710700,177783700
113478000,138713100,179078800
113373600,138719700,179149500
113108500,138720800,178146700
113581300,138729600,179742300
113453700,138746100,178097400
113366000,138747000,179448300
113402400,138747800,178136400
113581100,138753700,179724700
114436200,138754800,178081100
113556300,138756800,180214200
126902100,138760400,181504900
113939200,138762400,181862900
113049000,138766600,177266700
113470700,138770400,177792600
113862500,138774700,179440000
113743400,138805300,181702200
114221700,138816500,177863700
117387900,138816700,179521400
114324600,138840500,180758300
114974100,138853900,180255000
113410200,138858900,179864700
114937200,138877700,179870000
113410700,138878400,179197500
113825900,138880500,184377600
114343000,138886500,182232600
114188600,138890600,180288100
113341400,138893800,181217500
113683500,138897400,178204800
114358900,138908800,177854400
115861500,138913400,178132000
113388200,138915400,177872100
118605400,138926900,181580700
113446200,138931600,180502400
114033900,138941000,178284300
113313500,138950100,177998700
114474600,138950900,179305600
113718900,138961400,185701100
113070100,138970000,178573600
114183000,138972000,179394200
113325600,138972900,177352400
114027100,138973800,178241200
113233200,139001400,180331100
117030900,139007400,178845600
113360200,139009500,180372200
117586600,139013200,203462900
113475800,139024800,177401600
114653700,139027600,178013600
113353800,139030700,181912800
114433500,139032600,178875200
113184800,139038000,178842400
113558800,139046500,180641500
113583000,139046600,179228400
116564700,139063500,179276600
113479400,139066500,180803500
118807700,139069600,181095400
113475500,139075000,178829700
113143200,139077400,178925500
114219200,139082800,178823200
113204000,139092600,178195400
114422600,139092900,189165700
113806300,139097100,177818500
113167700,139097600,178157900
114566700,139102900,177862000
113905900,139120600,177752200
117760100,139122500,179673600
113464500,139123300,178590900
113306600,139126700,177647600
114058600,139127200,181072300
114516500,139137000,178707800
114537800,139137800,180842500
113656000,139138100,178171200
115560400,139141500,178005700
114340300,139146800,177337100
114431200,139154800,178235600
115506700,139155700,178445200
113351200,139157000,180252800
114212400,139160400,177846500
113519800,139166200,179725600
113266100,139173100,177872500
115017500,139174500,178636700
112889000,139174600,178085100
113476600,139176400,178237200
113342600,139181500,180017200
114554700,139184300,178271800
113745300,139187500,178372200
114252500,139191000,177907000
113632500,139191500,178470500
113577600,139197300,179399000
113833900,139213300,180011200
113782400,139216800,177685000
114499200,139217800,178254200
117301400,139219300,177705900
114479100,139220100,178333200
114375700,139223200,178259200
113885000,139225400,178399100
113756800,139227100,179380600
113327600,139230600,178410300
113924200,139232700,179535600
119130900,139232700,179062000
117448600,139238500,177702800
113742500,139239100,181305800
113504300,139239700,178284500
113572200,139243000,181924600
114357800,139245000,178510600
114041200,139246600,180401400
113718100,139247600,180024500
113507300,139252100,177519100
114016800,139257200,179044800
113642500,139258100,178173500
113794900,139264500,178726500
114079700,139271600,178367800
114454500,139271900,178636200
114703200,139272500,182681600
113563000,139274900,181146300
113944100,139275500,177886400
