C,NumPy
121239900,148609500
114631500,139631400
116891400,139366600
114060600,140965500
115070700,140133000
113546000,143598800
113718900,138961400
117521400,142330200
113939200,138762400
114974100,138853900
123156200,138654800
132954300,140481600
119957200,143112500
116821900,138662800
115017500,139174500
121528800,140593800
113722700,138215400
115560400,139141500
114703200,139272500
113287100,143458300
113453700,138746100
113547000,138611100
113638300,139702600
114357800,139245000
117387900,138816700
113806300,139097100
114083900,143840400
114343000,138886500
113428000,138557000
113810300,138655900
113291000,147394800
113064200,159639400
115739800,148151000
116174100,153687500
113617300,139972600
113656000,139138100
113814800,139660900
114367300,140506000
114058600,139127200
113531300,140721800
113751500,144353600
117943600,141152500
113688400,141062700
114381700,139586600
115683300,139828600
113290500,140664000
114261700,140146100
114896900,144268300
113226600,140496100
113344100,139819000
118898400,139354300
113718100,139247600
113636600,140420200
113437900,139370200
114366600,142928400
115409300,140552900
113270100,140690300
113583000,139046600
113167700,139097600
117301400,139219300
114322900,140616300
113917500,141236600
113214100,142072700
113156300,139308300
113710700,140486200
114000400,139359500
113269500,139423100
115888400,139987900
116457800,139583700
114424800,143215300
114358900,138908800
113286900,140720400
113745300,139187500
114221700,138816500
114016800,139257200
113398300,141030000
117549500,143345000
113884200,146432700
114498700,139378100
114638100,141233900
113456100,139751000
113390800,139662700
113612200,143713700
114323900,144294500
113362300,140220000
117157900,139798000
113417400,141418700
114850700,139474800
113821500,139339700
113460000,140075900
113281100,144737200
113266100,139173100
114678600,139279700
113474500,138706200
117440700,141110500
114183000,138972000
114021300,139544600
114531000,147909900
113777300,140743600
113248700,139464800
113366000,138747000
115852600,139535800
115796900,140407200
116171800,139684200
113551400,139977100
113492800,143666000
114454500,139271900
113336400,139488400
113281600,139329000
113274800,140372400
114442600,139671100
118018700,139364100
114358500,144160600
113242000,139962700
114554700,139184300
114653700,139027600
113516700,139630500
113820300,139492700
113507300,139252100
113738500,142992400
118431600,141204400
113475800,139024800
114220900,140689900
113559000,139291500
113829800,140545700
114167300,139565000
113742600,143388900
113556300,138756800
113442400,140685600
119175200,140741900
114252500,139191000
113833900,139213300
113128600,140366700
113449700,142798000
114316200,139290500
113047800,140447100
113410700,138878400
115506700,139155700
115861500,138913400
113974200,141388700
113578500,142794200
113464500,139123300
113794900,139264500
114432300,140705700
113360200,139009500
113388500,139358700
117002500,140228000
113834700,143030200
114156800,140426300
113905900,139120600
113477300,140596200
113328400,139625100
113944100,139275500
113750600,139545600
113480900,141566000
117392900,142413300
113403400,138602700
114718500,139351100
113235500,140688600
113313500,138950100
113129100,139497300
114188600,138890600
113784300,144700100
113581300,138729600
117030900,139007400
113577400,139787100
121425200,139483100
113742500,139239100
112938100,139321300
113698400,144252900
113114000,139881700
114566700,139102900
115375500,139602900
115265800,140968300
113536700,141210300
114288800,144088500
