C,NumPy,Cython
56595300,68983200,231651800
56971100,68985900,233526500
59019800,68986800,229883500
56922000,68998700,232439100
61227000,69020900,230657700
60442900,69025200,231265300
56895200,69061500,232760600
56603800,69061900,232239400
57692400,69062800,233253900
56717000,69062900,230231500
56620600,69074800,231869600
57474200,69089600,229933300
56881800,69090600,231259800
56574100,69101100,229480000
57158800,69108900,230734800
57596700,69131400,230662900
56535100,69132800,231633600
56610100,69137200,232195800
57333300,69141300,232647300
56548900,69145900,231362400
56801700,69159400,237480400
56853100,69188800,230417300
57522000,69191200,230070900
57406100,69192900,230532000
56706100,69195700,230714700
57203700,69197000,230122800
56639500,69197500,230624800
56881000,69203100,234788900
57357400,69208700,229915500
57201600,69216200,230141200
56806400,69220100,232404300
56801900,69224700,230417800
56508000,69238400,231417900
56576700,69243200,233296800
57026700,69249600,242781100
56629700,69250100,232624100
57273400,69253600,231834200
60754400,69259900,230211300
56750500,69264700,229692600
57542300,69271500,230977200
56814700,69271800,230497400
57806400,69278400,231986600
57312500,69282000,230158200
56630600,69282900,231536200
56937700,69285800,231993000
56821800,69290700,230170600
56771900,69293100,233620900
56855600,69293900,230035400
57137800,69296500,236092800
56993900,69297500,230164000
57028100,69298100,229229100
56610300,69304000,231317800
56858500,69304400,229541200
57399600,69307500,246752600
56580200,69311800,230087800
56603600,69313100,229733500
57008000,69315200,230689700
57786300,69317100,232797800
56798200,69325500,231500400
56777600,69328600,230976100
57553100,69329500,234793100
59319000,69330200,231572800
56872600,69331700,233221800
56653800,69332300,229942400
56435600,69335000,230801800
58040800,69335900,229822900
56596900,69338800,230123500
57088700,69338800,230395600
56751400,69340500,231295700
56712200,69341800,229917200
57538100,69342800,231049000
56633200,69343200,231532900
56566200,69349000,231831700
56832300,69353900,231546700
56939800,69356600,230374200
56759900,69356800,230179900
57057900,69360400,230932200
56527600,69362600,230145400
56713400,69362900,231641100
56872500,69365700,231687600
58016400,69368200,231882900
59601800,69371900,232049700
57039400,69376000,233506500
56706100,69379000,241594500
59245800,69379100,233440400
57069900,69380200,231097200
56977500,69381000,231800100
57080300,69382900,232357900
56652200,69383000,234127400
56729500,69386500,230900200
56858000,69387700,229960800
56657300,69390000,230023000
56739900,69390300,230510000
56712600,69390900,230206900
57714500,69391500,231189500
57371000,69393800,231080400
58810900,69395700,229695500
60463300,69396600,232981300
56543000,69397800,230453100
56325100,69399800,229788000
57380100,69400000,230094000
56952400,69402600,230802400
57073300,69403700,230387100
57696000,69404300,230714100
57130100,69404800,231509700
57285700,69407700,231868400
56958800,69412200,230825700
57443400,69413300,232635800
56974000,69416300,229490800
56820900,69417800,233167300
57889800,69420300,231495900
57343500,69423500,233313400
57109800,69425000,231141500
57202600,69425600,230306300
56627500,69428900,230358200
56585500,69429900,231177300
60201200,69431600,229619900
56951700,69433000,229493500
56474200,69434800,230131200
56540200,69435500,232229500
56758800,69436400,230069200
56832900,69437400,231504800
58815400,69441100,230527600
56619700,69445800,230392500
56723800,69448500,230082100
56846200,69451500,230392700
56583200,69451500,231193100
56936600,69454600,230037100
57607300,69454700,231077600
57053200,69455500,230946900
57221100,69461500,230361200
57647100,69465400,230508100
56914600,69465900,230120300
57582300,69466900,230928500
57320600,69468400,230239200
58056400,69471900,233035700
56775600,69473700,230703900
57798300,69474700,232457400
57109700,69474700,229867500
57575800,69475700,230105500
56770700,69475800,231892600
57703200,69477200,230210200
57150600,69477300,232528800
58504300,69483000,231378200
56794500,69483200,233656900
56915700,69483500,231536200
56450200,69483600,232040500
56933900,69484900,229601600
57189000,69485400,229822100
57462600,69486800,234707600
56759900,69487800,229893600
56760000,69493800,231545200
56630100,69494700,232559800
56887000,69495000,231681100
57549600,69495700,230082600
56827900,69497100,231552000
57976700,69499300,230312200
56956100,69503900,231485200
56676600,69504200,230858100
56635100,69504600,230871100
56510500,69507300,230534300
56698900,69507600,230857400
57287200,69507800,230607500
56866600,69508300,231459000
57023400,69509000,230413300
56807700,69510300,234213900
57701900,69510500,230179900
56895400,69515400,231549400
56774600,69515400,230474200
56989100,69516600,231090700
56751200,69517800,231086400
56933300,69518700,232229600
57243400,69519700,231800400
56475900,69522200,230202100
57183300,69524300,229257200
60956600,69524500,230718000
56895200,69525000,232735900
57250800,69525700,230307100
57807300,69526100,229403000
56707500,69526200,231945400
56735300,69526600,231986300
56756000,69528400,230410300
56583100,69528600,231375500
57039500,69529300,230528000
57682700,69530300,231948500
56557300,69530700,230076300
60887900,69530700,231098200
57843300,69534700,230247000
56622000,69537800,231221500
57121000,69538000,230193500
56771300,69538500,231002300
56346700,69539300,231054000
57096100,69539600,230387700
56655500,69539600,230339600
60123000,69541100,233837700
56740900,69542500,232624100
56570500,69544300,232695700
56771100,69550000,231863700
57296600,69550400,231269700
56643200,69552400,234414100
57063100,69554100,231336900
57352100,69554200,232005700
56578200,69555700,229500700
57987500,69556600,232217000
59413100,69559100,230292900
56722400,69559700,230047300
57707200,69560900,229663000
56845700,69561000,230434900
56728400,69561000,231634800
60560300,69562500,230054400
56755100,69563500,230721100
56725700,69568700,231781000
56911300,69568900,230687200
56728800,69569300,232238900
56818300,69572800,230084500
56933300,69575600,230184600
56777100,69576600,232775000
57368600,69577400,230037800
56648400,69577700,231081800
56910700,69581700,229878400
57101400,69582600,229481200
56683900,69586100,230017200
57509700,69586100,234961000
56713200,69586800,231392200
56816200,69587800,233190900
56881900,69588200,229814500
56553100,69589900,230591500
58610600,69591900,230001000
56547600,69592600,232312600
56795100,69593700,231691700
57250700,69596800,232621000
56623000,69597300,229858100
56550200,69601600,231960500
56618100,69602900,232023200
56673000,69603000,233063000
56676600,69604500,235508200
57583900,69605000,230115800
57220900,69605500,230808300
56922700,69606400,231945800
60051000,69608000,229518600
58340900,69609200,230660100
56703900,69614500,230997600
56977500,69614800,230839800
57684500,69615100,231368000
56754200,69615200,232632700
57329800,69620500,230942600
56627200,69622800,231517600
56553300,69623200,230278600
57845400,69623500,230028500
56473700,69624600,232830800
56910000,69625200,233612000
56828600,69626800,229696100
56404700,69630000,232110000
56731300,69630300,229802000
56814000,69631000,232992300
58034600,69631800,231320600
56790700,69632000,229816300
56962100,69633700,230795200
56906600,69635300,231949900
58040800,69641700,232687400
57185100,69643000,232250800
56589900,69643200,235467900
57124700,69644200,231775100
56842300,69645600,230302600
57174200,69646200,231773300
57244400,69649800,231386700
56653200,69654900,240048200
57857300,69656100,230100900
58385100,69656200,232352200
56626200,69656400,232990900
56670500,69657100,232734800
56590300,69657200,229826400
56963000,69659500,230402800
56704000,69660200,229967600
56699300,69661000,231220600
56678200,69662000,230751300
56540600,69664300,231617400
56719500,69664500,231229700
56836600,69664600,231823700
56763700,69666200,233245100
56812900,69667200,230384600
56963500,69670300,230768700
60648000,69671800,231282000
57370400,69672400,232219400
56598500,69673000,233664600
56753800,69673800,231920000
56893800,69673800,229854700
57063800,69674800,231289400
57308000,69675700,230183000
58030500,69675800,232443600
57062700,69676100,230444800
56931500,69676900,231052100
56460500,69676900,232830800
56567300,69677400,230540400
56781900,69679100,232641200
56532500,69679500,230847500
56877100,69679800,231378700
56697200,69683900,232271700
56659300,69687600,232057300
56755800,69688500,232639300
57955700,69689600,233145000
57118600,69690500,229663700
57997200,69690600,235752000
56915200,69691700,231466800
56808900,69692000,232110200
57268500,69693300,230483800
58097000,69695300,235262000
59812300,69697700,230517400
56621200,69697800,231095900
57258900,69699200,230087800
57629600,69699500,231379200
62539800,69700500,229824500
57098700,69701100,230884600
60415100,69701200,231315700
64082200,69701800,230324600
56963600,69702000,232738600
57262300,69703200,232385300
57277300,69707600,232280800
56364400,69708600,229798200
57321400,69711300,231490100
56956400,69712200,231866800
57428900,69714000,230676100
56807400,69717600,230179700
57335000,69717700,231763700
57026600,69718500,230495200
56855300,69719800,232070900
56673300,69721200,230762100
56851600,69722200,231161100
57165100,69724300,232493900
58764900,69724300,230125000
56902100,69727900,231137500
