C,NumPy
60771300,76319500
57647800,72154800
57026700,69249600
56664000,71530400
56676600,69604500
56847700,70851800
56634800,70369600
56759900,70094900
59245800,69379100
57400700,72945900
56831000,69954800
56760300,70533600
56566200,69349000
56873300,70960000
61919000,70747900
56881800,69090600
56828600,69626800
57487000,70405500
57203700,69197000
56729500,69386500
56512300,70342500
56756300,70009300
56832300,69353900
56663500,70648900
56465900,71985600
57096100,69539600
58641000,69760900
57357400,69208700
56821500,71177200
56543000,69397800
56701000,69961500
57361400,69968000
60051000,69608000
56895200,69525000
57890700,69833300
56891800,69736300
57573000,70140500
56855300,69719800
57020000,73554300
56804500,69836600
57221100,69461500
56936600,69454600
56895200,69061500
57970200,70650700
56908900,69787800
58291900,70491700
57343500,69423500
56638300,69867300
56570500,69544300
60442900,69025200
57446200,69803400
57407400,70502500
56944700,73557500
56553100,69589900
56895400,69515400
57806400,69278400
56639000,70260400
56580200,69311800
56702800,69965400
56617600,70507800
61542300,71109600
62539800,69700500
58504300,69483000
57250700,69596800
57575800,69475700
56728400,69561000
58187300,73686600
59687400,70491400
57479000,69805800
56915700,69483500
56881900,69588200
56759900,69487800
56488700,69745600
57848800,70478600
56900000,71600900
56809000,69787800
56576700,69243200
56911300,69568900
57684500,69615100
58815400,69441100
56643600,70247100
56501000,73985500
58040800,69641700
56616500,70067500
60560300,69562500
57108300,70654600
57243400,69519700
57057900,69894000
56690300,70591900
56674300,70628900
56740900,69542500
57511400,69864600
57069900,69380200
56798200,69325500
56703900,69614500
57586800,73111000
57778900,71326700
56727100,70101000
56550200,69601600
56676600,69504200
56996800,69939800
58648000,69815900
59398800,69929800
56842000,70180700
56681300,70617700
56802300,70852500
56799200,70633700
56723800,69448500
56735300,69526600
56530000,73430500
58225900,69996300
57018700,70789900
57287200,69507800
59319000,69330200
57320600,69468400
56902600,69755400
56759900,69356800
56875500,70155400
56364400,69708600
61747500,70768900
58016400,69368200
56962100,69633700
56583100,69528600
57263800,71045400
57025100,72090000
56963500,69670300
56857900,70142400
57209200,70361300
57798300,69474700
57333300,69141300
57851500,70181200
57437500,70172300
57335000,69717700
56700700,73182400
57157000,75153500
56978900,81832900
60974200,80029200
58087600,78619700
57934800,70749000
57097900,69884900
57081300,70153700
59647200,71235100
60341900,69858700
58279700,70312300
56953700,70398900
56655100,72450200
57308000,69675700
58317600,69783500
56876900,70756700
56817900,70222400
56607900,70876100
56845300,78530200
56620100,80020200
56794900,72420300
60448300,70208400
57347400,75977400
57698200,71378900
56704000,69660200
56633400,71741600
56637600,69903200
57522000,69191200
56591100,69904400
56590300,69657200
56753600,71169300
57024400,70049000
58365900,72053800
56793900,71828100
56763700,69666200
56831100,69859000
56858000,69387700
56584600,69887700
58254400,70816900
59601800,69371900
56679200,71051500
58063000,69886800
57183300,69524300
57039500,69768100
56714700,69741000
56717700,70522300
56906600,70081000
56962200,73556300
56827900,69497100
57467000,69816500
57428900,69714000
57553100,69329500
56987900,70206100
56817100,70135500
56609100,70398200
56956400,69712200
60579600,69747900
57137800,69296500
56914600,69465900
57039500,69529300
57533100,69987100
57202700,74413000
56630100,69494700
56933900,69484900
56922000,68998700
56678200,69662000
57053200,69455500
57158800,69108900
57371400,70953500
57955700,69689600
57258900,69699200
56633200,69343200
56953400,70208700
58499100,69751600
59576100,70718300
56904600,72891400
56889200,71230600
56839900,69861600
57233100,69776100
57380100,69400000
56887000,69495000
57425800,70010500
56953200,70510800
56858900,71104100
57008000,69315200
57607300,69454700
56949900,69770900
56949600,69835700
57368600,69577400
56840000,71034600
56902400,73941400
61325600,71286200
57086700,70516900
57020300,69924000
56473700,69624600
56706100,69195700
56989100,69516600
57606500,70197900
56641400,70757700
56626200,69656400
56596900,69338800
56832900,69437400
56853100,69188800
57692400,69062800
56909600,72945200
56696600,70225200
57671100,70903400
57124700,69644200
58025400,70083300
59413100,69559100
56977500,69614800
56628300,70427000
56768500,70276100
56643200,70575500
56808200,70402900
57296600,69550400
57165100,69724300
57185100,69643000
56838000,73187000
56591900,70286300
57287400,70145300
56906800,70859900
56701800,69968500
56657300,69390000
57047500,69882700
57284300,70102200
60505000,70129800
57047000,69830100
56613600,71130900
56973300,69786100
56699300,69661000
56585500,69429900
56572900,71922700
56772300,71603600
57661300,70110400
56704800,69761400
56456300,71414500
56989700,69915700
57391500,69944500
56801400,70179700
56526600,70059900
56812900,69667200
56503500,70495600
57851900,70280900
60458500,70533500
56974000,69765200
56627200,69622800
56823700,73958700
56717800,69872900
56747200,69870800
56672200,69969900
56950500,71311300
56971300,69743500
57587000,70307000
57039400,71377400
57074900,69985300
56834400,69817100
57212300,69977200
56523700,70983000
56776400,70109300
56814000,69631000
60606000,74066400
57856900,70006400
56648700,70175800
56728800,69569300
56693200,69974900
57085700,71086600
56635100,69504600
57088800,70717100
56711300,70191200
56755100,69563500
57773300,70282900
56837500,70808900
57018600,70024100
56921800,70698900
56632600,73263000
56676800,70498500
56531100,70579400
56764500,69862400
60648000,69671800
57857300,69656100
57236300,71517000
56862100,70120200
56767300,69996600
56933300,69575600
56524600,69965000
56621200,69697800
57026600,69718500
56522600,70464000
56582600,72263300
58344700,73271100
56786000,73065100
56546500,79019700
56758900,76744500
56679900,74047100
56649800,70449800
59135300,71416500
58267400,73763900
57024900,84207500
57681400,72878500
56557300,69530700
56722400,69559700
56751400,69340500
56913100,74762300
56601600,70357600
56578200,69555700
57297000,69728900
56915000,69883900
58340900,69609200
58040800,69335900
56899800,72092100
57764500,70388600
56598500,70238100
56915200,69691700
60868100,69792300
56958800,69412200
56670500,69657100
57674600,73374500
58949100,71979600
65956400,70304300
62944200,69953200
64082200,69701800
56695600,70015600
58281000,70028300
56849300,70629700
61531900,70745400
66952200,70744100
57644500,69801600
56545200,69812300
56643200,70102600
57092800,69745300
61446100,72184200
56951300,71874800
56827700,71376500
56692500,69994700
57976700,69499300
57052200,70088700
56770000,70034900
56800300,70193200
56633300,70117200
56635200,70338900
56954600,71171500
58030500,69675800
56851600,69722200
57101400,69582600
57266600,70706700
56823500,72942600
56831000,69976900
60165300,71227400
57118600,69690500
56752400,70200500
56814600,69739300
56614400,69813400
57189700,70116300
57321400,69711300
56825900,70201400
57414200,70655600
56508900,69781100
56760000,69493800
57716400,69792700
57223400,73840200
56741500,70101900
56704900,69758500
57858100,70983700
56653200,69654900
57583900,69605000
60956600,69524500
56870500,70931300
56855500,69961400
56654600,69728600
56699900,70476000
56700800,70481100
57321700,69969900
57443100,69797200
56762000,73240700
56838700,70240300
56944300,70443700
57925800,69751700
56887600,71115200
56948400,69848500
56770100,70228200
57207800,70412400
57283800,70522800
60457500,70089300
57599500,70071800
57063800,69674800
56522900,71281400
56798700,69869600
56794100,74073400
56722200,70543500
56795700,70367600
57500500,69835300
56823500,69820500
56701000,70799000
57065200,70285400
56950300,71097100
56858400,70079100
56474200,69434800
56755800,69688500
56548900,69145900
57682700,69530300
60461500,71223100
56707400,72263700
56711900,72043900
56846300,70239000
56471200,69901500
56814400,71110000
56781900,69679100
56630900,71195500
57331300,70562400
57063100,70185200
56775600,69473700
57707500,69992100
56731300,69630300
56581800,69999200
56756000,69528400
56706400,71537900
56757400,73720000
57348200,70418100
61608200,69980500
57142700,70102300
56809100,69868800
57006200,70052800
57060200,71100700
56775600,70442600
56645300,69790200
57193500,70138900
57426500,69801700
57538100,69342800
57786300,69317100
56952400,69402600
56795000,73910000
57273400,69253600
56610100,69137200
56821800,69290700
56535100,69132800
61227000,69020900
57927800,69737600
57150600,70982800
56466700,70682100
56712200,69341800
56855600,69293900
56971100,68985900
57073300,69403700
56777600,69328600
56689300,72052100
57299000,72050000
60415100,69701200
56781900,69880800
56650300,69997700
56747600,69974200
56404700,69630000
56780000,70265800
56777400,70547300
60641900,70845000
57334000,70029100
57568200,69886700
56627300,69893800
56771300,69538500
56694400,73044400
56558400,71024500
56941900,71195100
56459500,69950900
56631400,70016800
57435500,69837900
57958700,70263800
56663500,70975700
56690100,70140600
56825100,70385200
56754400,70761000
56578100,70045800
58449900,69991100
60123000,69541100
57355200,77954500
57572100,88198600
57050800,73828300
56696600,71491700
56750800,69991500
56652200,69383000
56586100,70738000
57089300,72139000
57462600,69486800
56974000,69416300
57173900,71700100
57399600,69307500
56643200,69552400
56620000,69817900
57141200,72377900
56448800,72542100
60737100,70502300
56929100,69839600
56689300,71019400
56970500,69858300
57268500,69693300
56865900,70530800
56511200,70409800
56541700,69789300
57121000,69538000
56818900,70497200
56972900,70274900
56939800,69356600
56707500,69526200
57644200,74483900
56719500,69664500
56325100,69399800
56484500,69996500
58873600,71224700
58385100,69656200
56581800,71187400
56693400,70040600
56841300,69947400
57352100,69554200
57085900,70029600
56661200,70650900
56977600,70229900
56794500,69483200
56518800,74744900
57877400,69970400
56758800,69436400
56903100,69773300
56795400,69953300
57308100,71038500
56876100,70273400
56623000,69597300
60463300,69396600
56951700,69433000
56877100,69679800
56750500,69264700
56836600,69664600
56672900,70255600
57613400,73168800
57130100,69404800
56802700,69766700
56801700,69159400
57406100,69192900
56881000,69203100
56931700,70853600
56660800,70711300
56731800,70018500
57655900,70064300
57987500,69556600
58024800,69752500
59812300,69697700
57200100,70081100
56592900,73864400
58351600,70991000
56972600,70250900
56712800,69978400
57352700,69849900
57186300,69842900
56808900,69692000
56964300,71597400
57647800,70401800
56532500,69679500
56678400,70094300
57098700,70256800
56440200,69799000
57175500,69813000
57631200,70957100
61281800,73385900
58001100,69821500
57474200,69089600
56801300,70246400
58189000,69831400
56583200,69451500
56419000,70180900
56732200,71759100
58056400,69471900
56650900,69869300
57274100,70796800
57063100,69554100
56814700,69271800
56618100,69602900
56482400,73110500
56788300,70985000
56739900,69390300
57509700,69586100
60857200,69925300
56768400,75044100
56617500,71061300
56648400,69577700
56668100,70067900
56613700,70181100
56697200,69683900
56639500,69197500
57640200,78891000
57757200,82320400
56960000,87599900
56833000,89611100
56778700,74525200
56622000,69537800
56643700,69915400
56725700,69568700
56767200,70406900
59801600,69733200
58808800,70232300
56700700,70121000
57108200,69954100
56752600,69813700
56540600,69664300
56736800,72667600
56719100,71014600
56816200,69587800
56708000,70861900
58034600,69631800
57088700,69338800
56564100,69790800
56631200,69798500
56587700,70364400
56430800,69847500
56510500,69507300
57821800,70538600
60763800,70018900
57596700,69131400
57005800,70197400
56830200,73166100
56683900,69586100
56858500,69304400
56764400,71215700
57189000,69485400
56872600,69331700
56594800,70051300
57750800,69961300
57341500,69938300
56807700,69510300
56668000,70222100
56499200,70585800
56547600,69592600
56673000,69603000
58311900,73183200
59463700,69757100
57277300,69707600
57402900,69908700
56811500,70860500
56751200,69517800
56670100,69960400
56922700,69606400
56984900,69812400
56649200,69991300
57198900,69860200
57109800,69425000
57619900,70813800
56963000,69659500
56605100,73404600
56617400,69845000
56795100,69593700
56630600,69282900
60887900,69530700
57209200,70660100
56837300,70379300
57385600,69921200
59449200,69764100
56746300,69763500
57312500,69282000
57138300,70340700
57276700,69911000
57298600,71021900
57321500,72428400
57409200,71062600
57164200,70571000
57843300,69534700
57098700,69701100
57094200,70104300
56722400,71591800
60488900,70511600
57717300,69887200
57057300,70206800
56962100,70486900
56703800,73768900
58114800,73057500
56973200,70292100
59174900,72646000
60950200,73399100
57354300,70831200
59057200,70039200
57943000,70040100
56752900,69801400
57337200,69958600
57634000,71429200
56844600,70545400
56977500,69381000
58594300,70030300
60137000,69893600
57250800,69525700
56872500,69365700
57150600,69477300
57229900,74748500
57703200,69477200
57109700,69474700
57123700,69938500
57062700,69676100
57714500,69391500
61347200,70323200
66885300,69887300
64844100,70792700
56698900,69507600
57725400,69807000
56660900,69896600
57370400,69672400
60754400,69259900
56685700,73389800
56860100,71064500
56910000,69625200
56627500,69428900
56521900,71070400
57889800,69420300
57511100,69859200
56746400,69899300
60193800,69939300
57766300,70537800
56763500,69913700
56460500,69676900
57371000,69393800
56603600,69313100
57288100,73213100
57346400,69788600
61057500,70659200
56893800,69673800
56770700,69475800
56706100,69379000
56346700,69539300
56906700,70015900
56774600,69515400
56974000,69779000
57640100,70928400
57244400,69649800
56993900,69297500
57201600,69216200
56443000,71505700
56770200,71487900
56894700,69739300
56700200,70459200
56366000,70257000
60201200,69431600
58426300,69914900
57014400,69967000
56650800,69843200
56820900,69417800
56712600,69390900
57393600,71219100
56619700,69445800
56619900,69808900
57807300,69526100
57080400,73469400
56906600,69635300
56670900,69891600
56719200,70447300
56842300,69645600
56542100,70115600
56643900,70108800
56735400,69858500
60374800,69839500
57549600,69495700
56508000,69238400
56521000,70707000
56613700,69860000
56846200,69451500
56568700,73052500
56824600,69846500
56653800,69332300
56841800,69932500
58398200,75172800
56776100,72361000
56697600,69739700
56626200,70249600
56420600,70064800
56801900,69224700
56567200,69750500
58097000,69695300
59609000,70848700
57845400,69623500
57642000,72599800
56776400,70458700
56434200,69888600
56475900,69522200
56765600,69948700
56754300,70169900
57472700,71258800
57079000,70091100
57701900,69510500
56777100,69576600
56694600,70233800
56546400,69947900
56610300,69304000
56731100,70800300
56435600,69335000
59949700,73430900
57633600,69750000
57023400,69509000
57443400,69413300
57707200,69560900
57028100,69298100
57114700,71284700
56927600,69931200
57329800,69620500
57855100,70039300
57263400,69746400
57118300,70010200
58610600,69591900
56988200,70950100
57138900,73435400
57092400,70832800
56818300,69572800
60093200,70333300
58764900,69724300
57174600,70208400
56854500,70351500
57740200,71050200
56809300,69841800
56643000,69949600
56528600,70058300
56516300,70260000
56902100,69727900
57351800,69794500
56745000,71577700
56665100,72859200
57643300,70151400
56666800,70208800
56383500,69807100
56535700,70105400
56617300,70383400
60328800,70016600
56834200,71559600
56818500,69995900
56713200,69586800
57007200,69975200
57285700,69407700
56629700,69250100
56779400,70494900
56878500,74919700
56527600,69362600
57542300,69271500
56771100,69550000
56603800,69061900
56661700,69739500
57774500,69907900
56713400,69362900
56556900,71037300
