C,NumPy,Cython
56814300,69056600,229497600
56831900,69068100,233268200
56715100,69069400,230304800
56952200,69083600,231836300
57204700,69145800,242709500
60772700,69150600,230298200
60351400,69153800,232436900
56830000,69159600,232004000
56831900,69160100,230027100
56931100,69184900,231470300
56986100,69206300,231180400
66212200,69211800,231327500
57785300,69223000,236000900
57348000,69231900,230773000
57379200,69239500,230822300
59634400,69250800,230182800
56918200,69252500,229399500
56539800,69265100,229848300
56820600,69283400,230246800
56778200,69294300,231290800
58967000,69294700,229677400
57687800,69300000,232890700
56693000,69309400,230764300
63475800,69320100,230789700
59954100,69323700,231928200
56596300,69324400,229288000
56605000,69328100,232023900
56715400,69328900,229753300
56859400,69330300,231032000
56641200,69335600,231141200
56953000,69336800,232721000
71834000,69337500,231206000
56883900,69343600,230732800
56883300,69350500,231624800
56732500,69359900,229573300
59813300,69363500,244135000
56872700,69365700,231198500
57737400,69369900,230957400
58089900,69370800,230436500
61599500,69374300,230531300
56816500,69374500,232697100
59291000,69375500,233557800
60963400,69379100,232482200
56624000,69381600,230408100
56983800,69384000,231662600
57305400,69389800,229890200
56873300,69396500,232852000
66454400,69400100,231550800
60790400,69400400,230117900
57440000,69400800,230172900
59070900,69402200,232813000
70810300,69404700,231668800
56758700,69406200,231449500
56685400,69406800,229635700
57500200,69407400,230154900
58528600,69409000,233158100
57742600,69409400,230195600
56461300,69413400,235221500
56617300,69415200,229812700
57120500,69415700,230268700
57912100,69416300,231246300
57548400,69417600,232566600
64005800,69421800,231636000
56680400,69422200,231656700
56879400,69423800,230472200
58713800,69426700,232627900
56835400,69429500,229842300
57088000,69432600,233592300
56873600,69435500,233292500
57983400,69436100,231181100
56942700,69438900,231481200
57761900,69440400,230022700
56807500,69443100,232721100
56847800,69450200,232380500
57241800,69452000,233552300
65567900,69459100,231834600
60181900,69460500,230393100
56651100,69462400,231615900
57013900,69464500,230840900
56913000,69470700,229756200
57431600,69470900,233337000
56743200,69471300,233057700
57369300,69472800,231307000
57217900,69477000,229329400
56732600,69479600,229808200
56771000,69482300,230814000
56839400,69485200,230700100
57100900,69486500,230839700
58234100,69486800,229868600
56852600,69487400,230141700
56699600,69487500,231180200
57751100,69487800,230062700
56689600,69490100,231028700
57111500,69490200,231588300
56653200,69491000,231802000
56896400,69493100,232735300
56817000,69494600,231968600
56784300,69495300,230568400
73089800,69498100,231027700
57272400,69501800,231390400
59199300,69503600,231845700
57022600,69504200,232370900
56842500,69504400,232052600
62931700,69504700,232698300
56927000,69506600,233476700
56735100,69507500,229469600
57230500,69508400,231102300
57314000,69510900,230942200
56887100,69511000,231441000
60624600,69513100,231438400
58458300,69514500,231966400
56705000,69514800,232649700
56903300,69515000,231005800
56876200,69515300,231674400
56792000,69519400,231647900
56811900,69520100,230236600
63639900,69520400,232307300
57241900,69522600,230096900
59666300,69526300,231301600
57721700,69527400,251258400
57053000,69528100,229559800
56595200,69528300,230657700
56735800,69528500,232324600
56841500,69529500,231651400
59826200,69529800,231294400
64931200,69530000,230087700
56831300,69531300,231631100
56992500,69531500,230160400
56596400,69531800,230360100
57056500,69534600,230627400
56751400,69535700,230293500
56987300,69535700,232152800
58562300,69537700,232709800
