C,NumPy
60772500,76587800
57495000,72291600
57915600,70934800
56544000,69731900
58608200,69662500
59556300,70421400
56997800,69721700
59717100,70245400
59614600,70115900
56851600,71412300
56881300,71027600
56859800,74257700
56838800,70419500
57096900,69697100
58308200,71562800
56783600,70618500
57799600,70164100
57098200,70452800
56942700,69438900
56765400,69865000
64358100,69877600
64701600,69664700
66454400,69400100
60319200,69634500
60838100,71071600
61872200,73262200
57086200,69880100
56645400,69886900
57314500,70524500
56772400,71383400
60168500,69645300
57607300,70128400
56835000,70662900
59731900,69602100
56885000,69651100
57114300,70345300
56850200,69635200
56795300,69609500
56695000,69587100
56686500,73705300
56912900,69782600
58235500,69557200
60963400,69379100
56873000,70763000
57062600,69573000
57204700,69145800
56970200,69875500
56663700,70840500
56658900,69866300
61088100,69649900
62896300,70115100
57506900,70283600
56749200,69600100
56935700,71985900
56620700,72740600
56653900,69977000
56537200,69953200
57534300,70517300
56905200,70438400
58520300,70686700
59533300,70426000
57018700,70106900
56966700,71053100
56435800,70095200
56651000,70342300
56675900,70005700
56810200,69866200
56748400,70773800
57117100,73616700
58236700,71092200
56713600,70688200
56752100,70853800
56750200,69980300
56800200,70091100
56799000,70056100
57420300,70104300
56706500,70300100
61258000,70927800
60222600,69673000
56947000,70051800
57372200,69761100
57342300,70230500
57573700,73801600
56908400,70303300
57049100,71161000
58136800,72122500
57476300,70373500
57583500,69610500
57412100,70283800
56593700,69656200
57220600,69835000
57136200,70854300
56786500,70377300
57111500,69490200
59199300,69503600
60861200,69620200
58347700,73050200
57486900,69994600
57078300,70013400
56971100,71004200
56698500,70494700
56735500,69658600
59954100,69323700
57238700,69588000
56784900,69582700
56896400,69493100
58089900,69370800
57782800,71223600
56578000,69622300
57912100,69416300
56791600,72034200
56664100,71083100
61356700,69765700
57053000,69528100
56678200,71210000
58048100,70104200
56682900,69815900
56723900,69648700
56853100,69947900
56564100,69588600
57111000,70799200
57232800,70699400
57378200,70955300
56955000,69670700
57592500,76308400
56761300,75951100
57006300,81026100
56677600,79959000
56689500,78230000
59045100,72843400
58754100,70791000
56882900,70513500
56777600,70425000
57145800,70235200
57247800,69910400
56794700,69667600
56839100,70751400
57359600,70404100
60956200,73149300
61781400,70546600
77841600,70051000
66084900,70732100
72567200,76843600
68491300,76261000
62635000,76205600
63475800,69320100
72125900,69820400
66331500,69538600
66212200,69211800
64194000,69566200
70810300,69404700
61626200,71075500
64598500,73417600
63552900,71134600
63163100,69949500
61048100,69791300
63155100,71573900
61230600,70889300
60081900,69816200
61736900,70509200
61486300,69726500
64095000,69794100
65567900,69459100
58943100,69567900
59070900,69402200
58901600,69578700
60118100,71564800
60463200,72475500
58428900,70212400
63639900,69520400
58552100,70242500
59339200,69709000
62931700,69504700
63794900,70458200
61358000,71779600
63225000,69598200
61976300,69725100
57595400,69644500
61657600,69851200
56913000,69470700
56948800,69657300
56581500,73905100
56781000,70294300
57070800,69765600
57123800,70496500
60845600,69584000
57633700,69698700
56883300,69350500
56896500,70041300
57698500,70891500
56653200,69491000
57016100,69922100
56986100,69206300
57202900,70170500
57431600,69470900
59051600,73005000
58729600,72631600
56876500,70734900
56862100,70326000
56754700,70113400
56714300,72603100
56786900,69708300
56608900,69964200
58185800,69938700
57310800,71362800
56972100,70591800
57063000,70077900
56793100,69717800
56714900,69874000
56735400,73808600
56780000,71364900
56596900,70893300
57316600,70414800
61148300,70617100
57282100,70500000
56858400,70105200
57189900,70444600
56623200,70175800
56770100,69716800
56876900,71334800
57024700,69995200
57991600,69804300
57469800,69699200
56601700,71564600
56959300,72418600
57735700,70108300
56908800,70785100
56966600,71241700
56661200,69561900
56923600,69555100
59551000,69733300
59826200,69529800
56716200,69827500
57028100,69992400
56644400,70904600
56768300,70244200
56747500,69940600
56941900,69630000
57291600,73518400
57184000,70580100
58824000,69808800
57606100,71270500
56798100,70277000
56891600,69872100
57100900,69486500
56783100,70413300
56707700,69893600
56921400,69742200
60968600,69800000
57808600,71366000
57339500,69707500
56834900,70034200
56854500,73424000
56862100,70145400
56946100,69923100
56919300,71193200
57566600,70322100
56934300,70745300
57116200,70053100
57457900,70170000
56500500,69754200
56795800,72387900
56923100,74136000
56711300,70366000
57361300,71101800
58889200,69633700
58806700,74631300
56803300,71129600
58063200,70088500
56706000,69681500
56758700,69406200
56743000,69915100
56394400,71118800
57462200,70015700
56830000,69159600
56828700,69891000
56611600,69805200
56826600,70012100
57761900,69440400
56679500,71060400
56635600,72970200
56667900,70928400
56617500,70057000
60417600,70599400
57094000,69761700
56932600,69619000
57510400,72057500
57101000,70701300
57418200,69823000
56733900,69970900
56840100,69724600
57305400,69389800
56946100,69733200
57336000,69842400
57047700,72805100
57093300,72573800
57499300,70263600
56662700,69617200
56955500,70816900
56732600,69852400
58060700,69615000
59631500,70312500
56964600,70481900
56726800,69723500
56777900,69732800
57721700,69527400
56886900,71146400
56683900,77615900
57372000,77282000
57573200,89722200
57368000,89907200
57083200,80459300
58199300,69558600
56680400,69422200
57737400,69369900
56927000,69506600
56746600,71188300
56539800,69265100
60883600,69684100
57495500,69606700
56876200,69515300
56629300,69689600
56455200,74431000
57504400,70711600
57049400,70693500
56546900,70151700
64931200,69530000
71834000,69337500
72181700,69754700
70318600,69569200
70550500,69575700
70740600,70921100
71551400,69554900
73089800,69498100
79281600,69583200
76785900,69917700
81268300,72947500
80196000,70507600
65519400,70522600
60455700,71086100
62481100,69894600
63158200,69687900
70128300,69950100
61050200,69838300
59395500,69544400
57828500,69968100
58299900,70998200
58808000,69885600
58588500,69819500
66147400,69601400
60261000,70811100
59674900,72443700
62251800,70017400
72327000,70472100
62868200,70293700
61250300,69883600
63891700,69752700
58562300,69537700
58661800,69889600
58873200,69870400
58458300,69514500
61570600,70646300
59520000,69974100
58528600,69409000
59666300,69526300
62786600,73291900
70191100,69859000
60676400,69939600
62103600,70822800
58671100,70429400
56817000,69494600
56792000,69519400
58630000,69779300
64005800,69421800
57001300,69607400
56744600,69611200
56839300,70428800
57612600,69952200
